epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.8619047403335571,0.8088812828063965,0.9665429592132568,NA,NA,NA
1,0.8297619223594666,0.7828707695007324,0.8846700191497803,NA,NA,NA
2,0.8138889074325562,0.7683568596839905,0.828862190246582,NA,NA,NA
3,0.8158730268478394,0.7709258198738098,0.7828236222267151,NA,NA,NA
4,0.817460298538208,0.7703957557678223,0.7513395547866821,NA,NA,NA
5,0.8440476059913635,0.7946093678474426,0.7220636010169983,NA,NA,NA
6,0.8448412418365479,0.7955951690673828,0.6839019060134888,NA,NA,NA
7,0.8670634627342224,0.8137640357017517,0.6526156663894653,NA,NA,NA
