epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.4075396955013275,0.3985305726528168,1.085336685180664,NA,NA,NA
1,0.5297619104385376,0.5210592150688171,1.0398486852645874,NA,NA,NA
2,0.6103174686431885,0.5932283997535706,0.9665564298629761,NA,NA,NA
3,0.6583333611488342,0.6318724751472473,0.8919509053230286,NA,NA,NA
4,0.6753968000411987,0.6495804786682129,0.842485785484314,NA,NA,NA
5,0.6936507821083069,0.6706011295318604,0.8066853880882263,NA,NA,NA
6,0.6928571462631226,0.67318195104599,0.7881277203559875,NA,NA,NA
7,0.7023809552192688,0.6782500147819519,0.7707154154777527,NA,NA,NA
