epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.8539682626724243,0.8025844693183899,0.9573965072631836,NA,NA,NA
1,0.8226190209388733,0.777169942855835,0.8717440366744995,NA,NA,NA
2,0.8162698149681091,0.7710261940956116,0.8276601433753967,NA,NA,NA
3,0.8178571462631226,0.7692940831184387,0.7944819927215576,NA,NA,NA
4,0.8380952477455139,0.7876448631286621,0.7648277282714844,NA,NA,NA
5,0.8515872955322266,0.7982074618339539,0.7321859002113342,NA,NA,NA
6,0.8690476417541504,0.8147852420806885,0.6925747990608215,NA,NA,NA
7,0.8892857432365417,0.8295313715934753,0.671923041343689,NA,NA,NA
