epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.583730161190033,0.565138578414917,0.9978160262107849,NA,NA,NA
1,0.7027778029441833,0.6863124966621399,0.7889666557312012,NA,NA,NA
2,0.7289682626724243,0.7076077461242676,0.7449658513069153,NA,NA,NA
3,0.7349206209182739,0.7177203297615051,0.7286959886550903,NA,NA,NA
4,0.7515873312950134,0.7288317680358887,0.7086617350578308,NA,NA,NA
5,0.7496031522750854,0.7316529154777527,0.6977173686027527,NA,NA,NA
6,0.7515873312950134,0.7295036911964417,0.6756901144981384,NA,NA,NA
7,0.7690476179122925,0.7450949549674988,0.6716468334197998,NA,NA,NA
