epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.8384920358657837,0.7907187342643738,0.9671905040740967,NA,NA,NA
1,0.8107143044471741,0.7722817063331604,0.8781323432922363,NA,NA,NA
2,0.7972221970558167,0.7580642700195312,0.8317773938179016,NA,NA,NA
3,0.8273809552192688,0.7816824913024902,0.8005521893501282,NA,NA,NA
4,0.8265873193740845,0.7766425013542175,0.7669429183006287,NA,NA,NA
5,0.8480158448219299,0.7951881289482117,0.7348543405532837,NA,NA,NA
6,0.858730137348175,0.8067025542259216,0.7090630531311035,NA,NA,NA
7,0.8892857432365417,0.8273162245750427,0.6897107362747192,NA,NA,NA
