epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.8420634865760803,0.800292432308197,0.9081094264984131,NA,NA,NA
1,0.8682539463043213,0.822477400302887,0.6860360503196716,NA,NA,NA
2,0.8666666746139526,0.8226454854011536,0.6830464601516724,NA,NA,NA
3,0.8734126687049866,0.826949417591095,0.6721233129501343,NA,NA,NA
4,0.8789682388305664,0.8308071494102478,0.6236146688461304,NA,NA,NA
5,0.8761904835700989,0.8276374936103821,0.6430419683456421,NA,NA,NA
