epoch,categorical_accuracy,f1_score,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_f1_score,val_loss,val_top_k_categorical_accuracy
0,0.013888888992369175,0.04148378595709801,1.2225316762924194,1.0,0.4220430254936218,0.4237496852874756,1.085237741470337,1.0
1,0.0059523810632526875,0.033993199467659,1.1698442697525024,1.0,0.5591397881507874,0.5531653761863708,1.0861824750900269,1.0
2,0.008333333767950535,0.02878631465137005,1.1416106224060059,1.0,0.4462365508079529,0.36564818024635315,1.0906693935394287,1.0
3,0.008333333767950535,0.026682475581765175,1.12644624710083,1.0,0.4193548262119293,0.3202691078186035,1.092159390449524,1.0
4,0.01746031828224659,0.03610551357269287,1.1180908679962158,1.0,0.4005376398563385,0.29184937477111816,1.0928853750228882,1.0
5,0.01785714365541935,0.040517646819353104,1.113935112953186,1.0,0.3817204236984253,0.2547101080417633,1.0940415859222412,1.0
6,0.0337301604449749,0.05718393251299858,1.1106995344161987,1.0,0.5161290168762207,0.40846070647239685,1.0951337814331055,1.0
7,0.03928571566939354,0.06299231946468353,1.107852816581726,1.0,0.5752688050270081,0.458350270986557,1.0955066680908203,1.0
