epoch,categorical_accuracy,f1_score,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_f1_score,val_loss,val_top_k_categorical_accuracy
0,0.015079365111887455,0.04402391240000725,1.2304338216781616,1.0,0.4166666567325592,0.4168321192264557,1.0847437381744385,1.0
1,0.0075396825559437275,0.030782723799347878,1.1723231077194214,1.0,0.5618279576301575,0.5114323496818542,1.08198881149292,1.0
2,0.0059523810632526875,0.025565199553966522,1.1413803100585938,1.0,0.6075268983840942,0.5286247134208679,1.0870709419250488,1.0
3,0.011111111380159855,0.02940160222351551,1.1255645751953125,1.0,0.5349462628364563,0.4459916651248932,1.0901455879211426,1.0
4,0.01587301678955555,0.036124106496572495,1.1174527406692505,1.0,0.49462366104125977,0.39252302050590515,1.09269118309021,1.0
5,0.02261904813349247,0.043243248015642166,1.1129175424575806,1.0,0.5107526779174805,0.40832415223121643,1.0944222211837769,1.0
6,0.0337301604449749,0.054480019956827164,1.1102416515350342,1.0,0.6612903475761414,0.5400190353393555,1.0948008298873901,1.0
7,0.0456349216401577,0.06956974416971207,1.1076983213424683,1.0,0.6639785170555115,0.5469327569007874,1.0953298807144165,1.0
