epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.8583333492279053,0.8084006905555725,0.9530200958251953,NA,NA,NA
1,0.8309524059295654,0.7862505912780762,0.8682523965835571,NA,NA,NA
2,0.8194444179534912,0.7753844261169434,0.8269475102424622,NA,NA,NA
3,0.8253968358039856,0.778484582901001,0.7898989915847778,NA,NA,NA
4,0.8353174328804016,0.7846366763114929,0.7560634016990662,NA,NA,NA
5,0.8500000238418579,0.7990453839302063,0.7312072515487671,NA,NA,NA
6,0.8623015880584717,0.8101463317871094,0.691381573677063,NA,NA,NA
7,0.8845238089561462,0.8286734223365784,0.6614792346954346,NA,NA,NA
