epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.39246031641960144,0.3956681191921234,1.21792471408844,NA,NA,NA
1,0.6353174448013306,0.626375138759613,0.8776792287826538,NA,NA,NA
2,0.6976190209388733,0.6787605285644531,0.8181793689727783,NA,NA,NA
3,0.7079365253448486,0.6900244355201721,0.7972475290298462,NA,NA,NA
4,0.7079365253448486,0.6938509941101074,0.7691441178321838,NA,NA,NA
5,0.7194444537162781,0.7060961723327637,0.7520766258239746,NA,NA,NA
6,0.726190447807312,0.7052258849143982,0.7349214553833008,NA,NA,NA
7,0.7384920716285706,0.7165636420249939,0.7131003141403198,NA,NA,NA
