epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.8670634627342224,0.8170897364616394,0.9509282112121582,NA,NA,NA
1,0.8277778029441833,0.7844850420951843,0.8713366389274597,NA,NA,NA
2,0.8115079402923584,0.7665335536003113,0.8254837393760681,NA,NA,NA
3,0.8198412656784058,0.7730376124382019,0.7973409295082092,NA,NA,NA
4,0.8246031999588013,0.7776765823364258,0.7728699445724487,NA,NA,NA
5,0.8349206447601318,0.7924793362617493,0.7452567219734192,NA,NA,NA
6,0.8484126925468445,0.798978328704834,0.7148981094360352,NA,NA,NA
7,0.8662698268890381,0.8119214177131653,0.6753079295158386,NA,NA,NA
