epoch,categorical_accuracy,f1_score,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_f1_score,val_loss,val_top_k_categorical_accuracy
0,0.283730149269104,0.2988218367099762,1.320520043373108,1.0,0.8360214829444885,0.8254619240760803,0.7258280515670776,1.0
1,0.4928571283817291,0.48614445328712463,0.9970417618751526,1.0,0.9005376100540161,0.8956385254859924,0.3572312295436859,1.0
2,0.6115079522132874,0.595605731010437,0.8992168307304382,1.0,0.9596773982048035,0.9595293998718262,0.25727546215057373,1.0
3,0.6603174805641174,0.6390902400016785,0.8578287959098816,1.0,0.9650537371635437,0.9649574756622314,0.22862468659877777,1.0
4,0.6797618865966797,0.6488983631134033,0.8466299772262573,1.0,0.9596773982048035,0.9595293998718262,0.23914310336112976,1.0
5,0.6920635104179382,0.6651039719581604,0.816582977771759,1.0,0.9623655676841736,0.9622452855110168,0.23388630151748657,1.0
6,0.7039682269096375,0.6707168221473694,0.8225551843643188,1.0,0.9650537371635437,0.9649574756622314,0.23229053616523743,1.0
7,0.7063491940498352,0.6773715019226074,0.8024299144744873,1.0,0.9569892287254333,0.9568095207214355,0.2862858176231384,1.0
