epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.6650793552398682,0.6489031910896301,0.9584956765174866,NA,NA,NA
1,0.7440476417541504,0.7253640294075012,0.785997748374939,NA,NA,NA
2,0.7650793790817261,0.7404091954231262,0.7663515210151672,NA,NA,NA
3,0.7817460298538208,0.7535781860351562,0.7281790375709534,NA,NA,NA
4,0.7769841551780701,0.752394437789917,0.684604823589325,NA,NA,NA
5,0.77182537317276,0.7503321170806885,0.6738286018371582,NA,NA,NA
6,0.7805555462837219,0.752632200717926,0.6608790755271912,NA,NA,NA
7,0.7976190447807312,0.7641663551330566,0.6600164175033569,NA,NA,NA
