epoch,categorical_accuracy,f1_score,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_f1_score,val_loss,val_top_k_categorical_accuracy
0,0.01626984216272831,0.04805554077029228,1.202785849571228,1.0,0.39247313141822815,0.38898512721061707,1.0900568962097168,1.0
1,0.013492063619196415,0.04378889128565788,1.158316731452942,1.0,0.4650537669658661,0.4554857313632965,1.0843755006790161,1.0
2,0.015476190485060215,0.04467574879527092,1.1375153064727783,1.0,0.6129032373428345,0.6015283465385437,1.0856058597564697,1.0
3,0.02063492126762867,0.046991366893053055,1.1249459981918335,1.0,0.4865591526031494,0.4219450056552887,1.0896679162979126,1.0
4,0.02976190485060215,0.05423814430832863,1.1178110837936401,1.0,0.4784946143627167,0.40773892402648926,1.0933780670166016,1.0
5,0.0357142873108387,0.060495827347040176,1.113470196723938,1.0,0.5215053558349609,0.4281395971775055,1.0929746627807617,1.0
6,0.05198412761092186,0.07628461718559265,1.1102629899978638,1.0,0.5833333134651184,0.4881252348423004,1.0942143201828003,1.0
7,0.05595238134264946,0.08048383891582489,1.1080759763717651,1.0,0.4301075339317322,0.32971012592315674,1.0946403741836548,1.0
