epoch,categorical_accuracy,f1_score,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_f1_score,val_loss,val_top_k_categorical_accuracy
0,0.015079365111887455,0.044816192239522934,1.2147539854049683,1.0,0.3467741906642914,0.3377654552459717,1.0921742916107178,1.0
1,0.009126984514296055,0.03975200653076172,1.1668977737426758,1.0,0.5295698642730713,0.5289731621742249,1.08552086353302,1.0
2,0.010317460633814335,0.031237119808793068,1.140262246131897,1.0,0.3870967626571655,0.2743664085865021,1.0910664796829224,1.0
3,0.012698412872850895,0.03496445715427399,1.1264257431030273,1.0,0.3682795763015747,0.23875916004180908,1.0921143293380737,1.0
4,0.01746031828224659,0.03889038786292076,1.1188983917236328,1.0,0.46236559748649597,0.3594314754009247,1.0934863090515137,1.0
5,0.02777777798473835,0.04983697459101677,1.114142656326294,1.0,0.35752686858177185,0.21489118039608002,1.0946396589279175,1.0
6,0.04007936641573906,0.06078062579035759,1.1107966899871826,1.0,0.4973118305206299,0.39002344012260437,1.0955153703689575,1.0
7,0.04880952462553978,0.07484056800603867,1.1084809303283691,1.0,0.42473119497299194,0.3127908706665039,1.0949922800064087,1.0
