epoch,categorical_accuracy,f1_score,loss,val_categorical_accuracy,val_f1_score,val_loss
0,0.5888888835906982,0.577280580997467,1.0055041313171387,NA,NA,NA
1,0.6952381134033203,0.680767834186554,0.8076714277267456,NA,NA,NA
2,0.7341269850730896,0.7115373611450195,0.7635720372200012,NA,NA,NA
3,0.730555534362793,0.7130453586578369,0.7366222143173218,NA,NA,NA
4,0.7654761672019958,0.7374204993247986,0.6953793168067932,NA,NA,NA
5,0.7607142925262451,0.7377152442932129,0.7009482979774475,NA,NA,NA
